date,value,series
2002-01-01,22324,energia
2002-02-01,22695,energia
2002-03-01,23251,energia
2002-04-01,24719,energia
2002-05-01,24728,energia
2002-06-01,24234,energia
2002-07-01,23695,energia
2002-08-01,24442,energia
2002-09-01,24438,energia
2002-10-01,24924,energia
2002-11-01,25468,energia
2002-12-01,24949,energia
2003-01-01,25152,energia
2003-02-01,24965,energia
2003-03-01,25281,energia
2003-04-01,24787,energia
2003-05-01,24889,energia
2003-06-01,24535,energia
2003-07-01,24443,energia
2003-08-01,24629,energia
2003-09-01,24621,energia
2003-10-01,25715,energia
2003-11-01,25786,energia
2003-12-01,26189,energia
2004-01-01,26978,energia
2004-02-01,26508,energia
2004-03-01,27284,energia
2004-04-01,28046,energia
2004-05-01,27248,energia
2004-06-01,27083,energia
2004-07-01,27346,energia
2004-08-01,27657,energia
2004-09-01,28282,energia
2004-10-01,28510,energia
2004-11-01,28363,energia
2004-12-01,28562,energia
2005-01-01,28375,energia
2005-02-01,27888,energia
2005-03-01,28558,energia
2005-04-01,29347,energia
2005-05-01,28482,energia
2005-06-01,28321,energia
2005-07-01,28322,energia
2005-08-01,28765,energia
2005-09-01,29335,energia
2005-10-01,29145,energia
2005-11-01,29288,energia
2005-12-01,29505,energia
2006-01-01,28881,energia
2006-02-01,29383,energia
2006-03-01,29954,energia
2006-04-01,29840,energia
2006-05-01,28968,energia
2006-06-01,29060,energia
2006-07-01,29072,energia
2006-08-01,29886,energia
2006-09-01,29945,energia
2006-10-01,30094,energia
2006-11-01,30552,energia
2006-12-01,30494,energia
2007-01-01,30700,energia
2007-02-01,30325,energia
2007-03-01,31313,energia
2007-04-01,32031,energia
2007-05-01,31383,energia
2007-06-01,30767,energia
2007-07-01,30501,energia
2007-08-01,31181,energia
2007-09-01,31736,energia
2007-10-01,32136,energia
2007-11-01,32654,energia
2007-12-01,32305,energia
2008-01-01,31856,energia
2008-02-01,31731,energia
2008-03-01,32119,energia
2008-04-01,31953,energia
2008-05-01,32300,energia
2008-06-01,31743,energia
