year,name_metro,total,state,code_state,name_state,code_region,name_region
1991,AU de Jundiaí,467671,SP,35,São Paulo,3,Sudeste
2000,AU de Jundiaí,580131,SP,35,São Paulo,3,Sudeste
2010,AU de Jundiaí,698679,SP,35,São Paulo,3,Sudeste
2022,AU de Jundiaí,843633,SP,35,São Paulo,3,Sudeste
1991,AU de Piracicaba-AU- Piracicaba,981437,SP,35,São Paulo,3,Sudeste
2000,AU de Piracicaba-AU- Piracicaba,1180570,SP,35,São Paulo,3,Sudeste
2010,AU de Piracicaba-AU- Piracicaba,1332507,SP,35,São Paulo,3,Sudeste
2022,AU de Piracicaba-AU- Piracicaba,1467463,SP,35,São Paulo,3,Sudeste
1991,AU do Litoral Norte,168217,RS,43,Rio Grande Do Sul,4,Sul
2000,AU do Litoral Norte,231753,RS,43,Rio Grande Do Sul,4,Sul
2010,AU do Litoral Norte,283959,RS,43,Rio Grande Do Sul,4,Sul
2022,AU do Litoral Norte,360603,RS,43,Rio Grande Do Sul,4,Sul
1991,AU do Sul,504486,RS,43,Rio Grande Do Sul,4,Sul
2000,AU do Sul,557216,RS,43,Rio Grande Do Sul,4,Sul
2010,AU do Sul,578034,RS,43,Rio Grande Do Sul,4,Sul
2022,AU do Sul,572114,RS,43,Rio Grande Do Sul,4,Sul
1991,Agreste,386275,AL,27,Alagoas,2,Nordeste
2000,Agreste,435150,AL,27,Alagoas,2,Nordeste
2010,Agreste,478035,AL,27,Alagoas,2,Nordeste
2022,Agreste,495217,AL,27,Alagoas,2,Nordeste
1991,Alto Vale do Itajaí,224365,SC,42,Santa Catarina,4,Sul
2000,Alto Vale do Itajaí,243578,SC,42,Santa Catarina,4,Sul
2010,Alto Vale do Itajaí,269483,SC,42,Santa Catarina,4,Sul
2022,Alto Vale do Itajaí,309808,SC,42,Santa Catarina,4,Sul
1991,Apucarana,290233,PR,41,Paraná,4,Sul
2000,Apucarana,283923,PR,41,Paraná,4,Sul
2010,Apucarana,289457,PR,41,Paraná,4,Sul
2022,Apucarana,296131,PR,41,Paraná,4,Sul
1991,Aracaju,530200,SE,28,Sergipe,2,Nordeste
2000,Aracaju,675667,SE,28,Sergipe,2,Nordeste
2010,Aracaju,835816,SE,28,Sergipe,2,Nordeste
2022,Aracaju,932210,SE,28,Sergipe,2,Nordeste
1991,Araruna,55818,PB,25,Paraíba,2,Nordeste
2000,Araruna,59475,PB,25,Paraíba,2,Nordeste
2010,Araruna,64572,PB,25,Paraíba,2,Nordeste
2022,Araruna,59552,PB,25,Paraíba,2,Nordeste
1991,Baixada Santista,1220249,SP,35,São Paulo,3,Sudeste
2000,Baixada Santista,1476820,SP,35,São Paulo,3,Sudeste
2010,Baixada Santista,1664136,SP,35,São Paulo,3,Sudeste
2022,Baixada Santista,1805531,SP,35,São Paulo,3,Sudeste
1991,Barra de Santa Rosa,72328,PB,25,Paraíba,2,Nordeste
2000,Barra de Santa Rosa,72653,PB,25,Paraíba,2,Nordeste
2010,Barra de Santa Rosa,77555,PB,25,Paraíba,2,Nordeste
2022,Barra de Santa Rosa,75892,PB,25,Paraíba,2,Nordeste
1991,Belo Horizonte,3923376,MG,31,Minas Gerais,3,Sudeste
2000,Belo Horizonte,4833018,MG,31,Minas Gerais,3,Sudeste
2010,Belo Horizonte,5429969,MG,31,Minas Gerais,3,Sudeste
2022,Belo Horizonte,5733783,MG,31,Minas Gerais,3,Sudeste
1991,Belém,1536706,PA,15,Pará,1,Norte
2000,Belém,1973259,PA,15,Pará,1,Norte
2010,Belém,2275032,PA,15,Pará,1,Norte
2022,Belém,2243895,PA,15,Pará,1,Norte
1991,Caetés,173438,AL,27,Alagoas,2,Nordeste
2000,Caetés,185196,AL,27,Alagoas,2,Nordeste
2010,Caetés,205503,AL,27,Alagoas,2,Nordeste
2022,Caetés,179037,AL,27,Alagoas,2,Nordeste
1991,Cajazeiras,151333,PB,25,Paraíba,2,Nordeste
2000,Cajazeiras,157694,PB,25,Paraíba,2,Nordeste
2010,Cajazeiras,168113,PB,25,Paraíba,2,Nordeste
2022,Cajazeiras,173175,PB,25,Paraíba,2,Nordeste
1991,Campina Grande,524805,PB,25,Paraíba,2,Nordeste
2000,Campina Grande,564813,PB,25,Paraíba,2,Nordeste
2010,Campina Grande,606124,PB,25,Paraíba,2,Nordeste
2022,Campina Grande,651619,PB,25,Paraíba,2,Nordeste
1991,Campinas,1874231,SP,35,São Paulo,3,Sudeste
2000,Campinas,2348059,SP,35,São Paulo,3,Sudeste
2010,Campinas,2808951,SP,35,São Paulo,3,Sudeste
2022,Campinas,3178601,SP,35,São Paulo,3,Sudeste
1991,Campo Mourão,387449,PR,41,Paraná,4,Sul
2000,Campo Mourão,346686,PR,41,Paraná,4,Sul
2010,Campo Mourão,334125,PR,41,Paraná,4,Sul
2022,Campo Mourão,341931,PR,41,Paraná,4,Sul
1991,Capital,178247,RR,14,Roraima,1,Norte
2000,Capital,247619,RR,14,Roraima,1,Norte
2010,Capital,340398,RR,14,Roraima,1,Norte
2022,Capital,485282,RR,14,Roraima,1,Norte
1991,Carbonífera,416998,SC,42,Santa Catarina,4,Sul
2000,Carbonífera,484916,SC,42,Santa Catarina,4,Sul
2010,Carbonífera,550206,SC,42,Santa Catarina,4,Sul
2022,Carbonífera,645359,SC,42,Santa Catarina,4,Sul
1991,Cariri,421410,CE,23,Ceará,2,Nordeste
2000,Cariri,498268,CE,23,Ceará,2,Nordeste
2010,Cariri,564617,CE,23,Ceará,2,Nordeste
2022,Cariri,633326,CE,23,Ceará,2,Nordeste
1991,Cascavel,402984,PR,41,Paraná,4,Sul
2000,Cascavel,442643,PR,41,Paraná,4,Sul
2010,Cascavel,480640,PR,41,Paraná,4,Sul
2022,Cascavel,552097,PR,41,Paraná,4,Sul
1991,Central,8899,RR,14,Roraima,1,Norte
2000,Central,19067,RR,14,Roraima,1,Norte
2010,Central,27094,RR,14,Roraima,1,Norte
2022,Central,30980,RR,14,Roraima,1,Norte
1991,Chapecó,354779,SC,42,Santa Catarina,4,Sul
2000,Chapecó,383812,SC,42,Santa Catarina,4,Sul
2010,Chapecó,433770,SC,42,Santa Catarina,4,Sul
2022,Chapecó,535246,SC,42,Santa Catarina,4,Sul
1991,Contestado,416465,SC,42,Santa Catarina,4,Sul
2000,Contestado,468621,SC,42,Santa Catarina,4,Sul
